날짜,제목,조회,공감,비공감
2023.04.30 19:22,화요일 신용높은거  다  나온다,168,1,0
2023.04.30 17:19,누가봐도 조작증거로 감옥행은 필수,500,5,5
2023.04.30 17:13,화요일 공매도 숏커버링 “초비상”,718,22,2
2023.04.30 17:12,흐미 형아들 ㅈ되부럿네잉~,536,5,1
2023.04.30 16:34,세방같은 곳에서 미리 언지를 줬는데 줘도 못 먹었으면 할말없지...,544,2,3
2023.04.30 16:24,화요일 하따 한번 하게 해주세요~,342,3,6
2023.04.30 16:10,이거 상 치면 얼마에요?,649,4,0
2023.04.30 15:53,공매친 자들이 사전에 이미 알고있었다?,500,2,1
2023.04.30 15:48,삼천리대장아니야,548,7,2
2023.04.30 15:47,삼천리 상치면 5층이상 살 수 있는데 확률은 0.0001%,414,2,0
2023.04.30 15:46,투기 작전 주식. 경찰 수사중,449,4,4
2023.04.30 15:43,아.... 진짜 글안쓸려고 했는데...,392,2,1
2023.04.30 15:47,아.... 진짜 글안쓸려고 했는데...,214,1,0
2023.04.30 15:43,뉴스가공매도 세력 작전 ㅋ,344,7,0
2023.04.30 15:43,물린 찬티들아 찬티질 그만하고 삼천리 상치길 기도해,299,2,2
2023.04.30 15:25,현상황 개인적 의견,424,5,2
2023.04.30 15:04,삼천라 대장 야는 45층까지 acceptable,320,2,1
2023.04.30 14:58,선광..지금은.,445,6,1
2023.04.30 14:15,선광003100 ....이 소식이 주가에 긍정적인 영향을 미칠 것 같아요.,420,1,2
2023.04.30 14:14,선택,344,6,1
2023.04.30 14:06,화요일에 아도 칠 예정 ㅋㅋㅋ,492,3,0
2023.04.30 14:45,[삭제된 게시물의 답글]내일 갭 하락  검찰 조사중,229,3,0
2023.04.30 13:50,싸게살라고,451,6,1
2023.04.30 13:48,개미는 좃된겨 ㅎㅎ,317,3,3
2023.04.30 13:30,상폐된다해도 가치 7만,456,6,0
2023.04.30 13:06,현대 전기차.로봇,406,5,1
2023.04.30 13:00,요거  밝히는데,388,3,1
2023.04.30 12:58,상폐하면1주당청산가치7만받는다!!!!,493,5,1
2023.04.30 12:56,야는 시총 3천억 정도 봐주면 적당함,280,1,2
2023.04.30 12:37,상폐되면,468,5,0
2023.04.30 12:21,지금,399,2,2
2023.04.30 13:03,[삭제된 게시물의 답글]하4,181,1,1
2023.04.30 11:54,사명,333,2,2
2023.04.30 11:54,금요일에 ,523,4,5
2023.04.30 11:45,주가조작 연루되면 상폐요건입니다,531,5,3
2023.04.30 11:23,◆.선광(鮮光) : 고운 것이 빛나다,484,11,1
2023.04.30 11:17,40000밑으로는 꿈도 꾸지 마시길~~,498,11,4
2023.04.30 11:09,물량잠기다,365,4,0
2023.04.30 11:01,괴롭습니다 ,655,4,4
2023.04.30 10:56,토지 구입대금,462,1,1
2023.04.30 10:34,15퍼하한가 시대로,512,5,0
2023.04.30 09:44,드디어 대규모 검찰 압수수색,820,5,10
2023.04.30 09:44,금융감독원 개소리,354,3,0
2023.04.30 09:23,5천억유보율쌓인두고 머한댕?,586,6,0
2023.04.30 10:48,5천억유보율쌓인두고 머한댕?,232,3,0
2023.04.30 09:01,펑~~,393,3,2
2023.04.30 08:34,대표께,634,33,3
2023.04.30 09:46,대표께,235,5,0
2023.04.30 08:27,적정시총은 1700억 정도,400,3,5
2023.04.30 08:10,선광100억이상 5년이상  흑자기업,710,21,3
2023.04.30 08:03,국내 천하 제일 단타대회. (월요일 근로자의 날 휴장),504,4,4
2023.04.30 07:51,무증소문이 나오는데.  ,452,7,1
2023.04.30 08:06,충분하고 남습니자,346,4,0
2023.04.30 07:28,ㅋㅋㅋㅋㅋ ,334,2,3
2023.04.30 07:25,ㅋㅋㅋㅋㅋ 와우,324,1,4
2023.04.30 07:17,주식바닥에서 상승은,523,15,2
2023.04.30 07:02,◆.짧은 생각 긴 미련,505,9,2
2023.04.30 06:11,"일단 부채비율, 유보율보면 저평가네 ㅋㅋ ",501,4,3
2023.04.30 05:15,그래도 우량주로  장난처서 다행,483,7,3
2023.04.30 02:49,미수 대량 거래 후유증이 있을 가능성도 있으니 조심 조심,529,3,5
2023.04.30 00:21,ㅈ됐다,1285,2,14
2023.04.30 01:09,ㅈ됐다,612,20,2
2023.04.30 00:11,더 이상의 폭락은 없다고봅니다.,861,7,7
2023.04.29 23:58,다시 1년전 가격으로..,473,5,0
2023.04.29 23:54,SCFI(운임지수)근래들어 4주연속 상승  호재,423,10,1
2023.04.29 23:29,월요일에 하나요,335,3,2
2023.04.29 23:34,월요일에 하나요,241,3,0
2023.04.29 23:12,익절 회장꺼 외국인이 사서 공매치고 판거구만,472,4,2
2023.04.29 22:56,고가에 매집한 우리는,511,6,1
2023.04.29 22:37,매수평단 :  외인 8만원대. 기관 6만원대,552,10,2
2023.04.29 22:22,그렇게 떠들고 싶냐...,399,9,0
2023.04.29 22:18,주말에도 모지리들 많네,391,13,2
2023.04.29 22:02,위메이드 10만 위에서 최저가 2만9천찍더니,422,8,0
2023.04.29 21:50,하한가4번갈동안 거래량 보면 아직 멀었는듯;;,463,3,7
2023.04.29 21:43,SG증권 수상혀다!!!!!,329,3,0
2023.04.29 21:37,공중파 뉴스에서,394,9,3
2023.04.29 21:01,뉴스보니까,777,9,14
2023.04.29 20:57,하여튼   여기서  매집이되냐고,391,9,3
2023.04.29 20:55,어제 시초가에 매수해서,458,1,2
2023.04.29 20:33,금융감독원 개소리,278,5,2
2023.04.29 20:32,■■ 외인들이 무슨 손실을 봐,308,3,2
2023.04.29 20:21,외인들도 15만대에서 엄청 매수했네요,337,10,2
2023.04.29 20:04,월요일매수대기자가이브이첨단소재주10갈때하고판박이,409,10,2
2023.04.29 19:55,선광 영이익 300억 주가 8만원가야,476,14,1
2023.04.29 19:39,유보율쩌는데,299,6,0
2023.04.29 19:25,저번주,379,3,3
2023.04.29 19:15,3년 내 최저가 대비 상승률,510,3,7
2023.04.29 19:05,근데,255,5,1
2023.04.29 18:51,개인들만 샀네 ㅜ,294,3,6
2023.04.29 18:48,유통물량.,458,3,5
2023.04.29 18:43,하한가 풀리게 해달라고 기도하던 넘들이 ,263,2,3
2023.04.29 18:34,하한가 풀린거에 만족해라 뭘그리 욕심이 많노,266,5,4
2023.04.29 18:32,"아이휴~ 가 부릅니다. ""좋같은 날""",249,3,2
2023.04.29 17:56,월봉으로보세요들,401,2,4
2023.04.29 17:17,솔찍 화요일 시초부터 신규개미...,699,23,2
2023.04.29 16:56,거래정지,630,2,10
2023.04.29 16:38,금융감독원 개소리,358,3,1
2023.04.29 16:37,돌대가리 5인방 등극한 푸틴?,333,3,2
2023.04.29 18:42,돌대가리 5인방 등극한 푸틴?,150,1,1
2023.04.29 16:32,15층,510,4,3
2023.04.29 16:31,공매도 작전주 이제 출현,266,1,3
2023.04.29 16:30,회사가 재무도좋아 부채율도좋아,353,12,0
2023.04.29 16:29,공매도 조사,288,6,0
2023.04.29 16:28,여기 애들 왜 시작 전 상친다고 세뇌가 걸린걸까...? ㅋㅋㅋㅋㅋㅋ,397,3,4
2023.04.29 15:59,신용물량 대폭줄고 급매소화,325,8,0
2023.04.29 15:55,이종목 공매쳤다간 돈벌기전에 ,320,8,0
2023.04.29 15:38,형들 장투야 단타야?,530,5,2
2023.04.29 15:35,시간지나면,363,7,0
2023.04.29 17:33,[삭제된 게시물의 답글]선광 28000원이 지지선 ,142,2,0
2023.04.29 15:31,주가조작이랑 상관없이 선광은 떨굴자리였습니다,281,1,4
2023.04.29 15:28,즐거운 주말 잘보내세요,329,8,0
